bote  ,"n. woven basket carried on the back by a strap, often around the forehead. ","Category: agriculture - equipment, household."
baliun  ,n. axe. ,"Category: agriculture - equipment, tools - types, weapons."
katana  ,n. machete. ,"Category: agriculture - equipment, tools - types, weapons."
maubeka  ,n. large machete. ,"Category: agriculture - equipment, tools - types, weapons."
ai suak  ,n. crowbar. ,"Category: agriculture - equipment, tools - types."
enxada  ,"n. hoe, mattock. ","Category: agriculture - equipment, tools - types."
estaka  ,n. stake (pointed wooden post which is banged into the ground). ,"Category: agriculture - equipment, tools - types."
gerobak  ,"n. wheelbarrow, pushcart. ","Category: agriculture - equipment, tools - types."
karau dikur  ,"n. pick, pickaxe. ","Category: agriculture - equipment, tools - types."
karosa  ,"n. wheelbarrow, pushcart. ","Category: agriculture - equipment, tools - types."
tofa  ,"1 • n. digging stick with metal at each end, one end having a spike, the other end like a small spade. ","Category: agriculture - equipment, tools - types."
tratór  ,n. tractor. ,"Category: agriculture - equipment, vehicles - types."
ai kait  ,n. hooked stick for pulling down fruit. ,Category: agriculture - equipment.
ai leba  ,n. 1 • carrying pole (stick across the shoulder by which items are carried). ,Category: agriculture - equipment.
freiu  ,n. bit and reins (for horse). ,Category: agriculture - equipment.
karoon  ,"n. sack, bag. ",Category: agriculture - equipment.
kuda talin  ,n. reins. ,Category: agriculture - equipment.
mákina dulas hare  ,n. rice mill. ,Category: agriculture - equipment.
regadór  ,n. 1 • sprayer; watering can. ,Category: agriculture - equipment.
tratór liman  ,n. hand tractor. ,Category: agriculture - equipment.
xarua  ,n. plough (pulled by buffalo). ,Category: agriculture - equipment.
lahuk  ,adj. disintegrating (esp. of termite-ridden wood). ,"Category: agriculture - other, building - processes, water and sanitation."
horok  ,n. items tied to a fruit tree to indicate that nobody may pick its fruit; this is associated with a curse or spell on those who do pick it. ,"Category: agriculture - other, causes of illness, tradition."
mangál  ,"adj. nearly ripe, half-ripe. ","Category: agriculture - other, cooking - other."
rezultadu  ,"n. result; mark, grade (in exam); score; yield. ","Category: agriculture - other, education - other, sport."
agrikultura  ,n. agriculture. ,"Category: agriculture - other, education - subject."
agronomia  ,n. agronomy. ,"Category: agriculture - other, education - subject."
foos ikis  ,n. small pieces of broken rice grains. ,"Category: agriculture - other, food."
mota oan  ,"n. creek, channel. ","Category: agriculture - other, nature - other."
rai halai  ,"landslide, erosion. ","Category: agriculture - other, nature - other."
ai horis  ,n. plant (esp. trees). ,"Category: agriculture - other, plants."
duut  ,"n. grass, grassy weeds, shrub. ","Category: agriculture - other, plants."
tebar  ,adj. heavily laden (of fruit on a tree). ,"Category: agriculture - other, plants."
bee dalan  ,"n. water course, ditch, open drain, irrigation channel, canal. ","Category: agriculture - other, water and sanitation."
adubu  ,n. fertiliser. ,Category: agriculture - other.
adubu kímika  ,n. chemical fertiliser. ,Category: agriculture - other.
agríkola  ,adj. agricultural-. ,Category: agriculture - other.
agrikultura subsisténsia  ,n. subsistence agriculture. ,Category: agriculture - other.
agropekuária  ,n. livestock. ,Category: agriculture - other.
ai oan  ,"n. seedling, sapling, young plant. ",Category: agriculture - other.
akuakultura  ,n. aquaculture. ,Category: agriculture - other.
armazén  ,"n. warehouse, storeroom, store. ",Category: agriculture - other.
bokar  ,"adj. big, thick (particularly of healthy plants, tubers and seeds). ",Category: agriculture - other.
buras  ,"adj. lush, thrive. ",Category: agriculture - other.
ektare  ,n. hectare. ,Category: agriculture - other.
erozaun  ,n. erosion. ,Category: agriculture - other.
estrumi  ,"n. compost, mulch. ",Category: agriculture - other.
gudang  ,"n. warehouse, storeroom, store. ",Category: agriculture - other.
hasil  ,"n. yield, result. ",Category: agriculture - other.
hektar  ,n. hectare. ,Category: agriculture - other.
irigasaun  ,n. irrigation. ,Category: agriculture - other.
kabubu  ,n.  ,Category: agriculture - other.
kafé laran  ,n. coffee plantation. ,Category: agriculture - other.
kantadeiru  ,n. (raised) garden bed. ,Category: agriculture - other.
koperativa  ,"n. (commercial) co-operative, co-op. ",Category: agriculture - other.
matadouru  ,"n. abattoir, slaughterhouse. ",Category: agriculture - other.
natar  ,"n. rice paddy, paddy field. ",Category: agriculture - other.
okir  ,"unripe, very immature fruit. ",Category: agriculture - other.
peskas  ,n. fisheries. ,Category: agriculture - other.
pestisida  ,n. pesticide. ,Category: agriculture - other.
plantasaun  ,"n. plantation, orchard, vineyard. ",Category: agriculture - other.
produsaun  ,n. production; yield. ,Category: agriculture - other.
pupuk  ,n. fertiliser. ,Category: agriculture - other.
rai bokur  ,n. fertile soil. ,Category: agriculture - other.
rai hamlaha  ,body. there is a famine. ,Category: agriculture - other.
rai metan  ,n. black soil. ,Category: agriculture - other.
ramu  ,"n cls. bunch (of bananas, coconuts). ",Category: agriculture - other.
sasuit1  ,n cls. hand (of bananas). ,Category: agriculture - other.
toos2  ,"n. cultivated field, (agricultural) garden, farm. ",Category: agriculture - other.
viveiru  ,n. nursery for plant seedlings. ,Category: agriculture - other.
agrikultór  ,n. farmer. ,"Category: agriculture - people, profession."
natar nain  ,n. rice farmer. ,"Category: agriculture - people, profession."
estensionista  ,n. (agricultural) extension officer. ,Category: agriculture - people.
PPL  ,n. extension   officer. ,Category: agriculture - people.
kuda1  ,"vt. plant (e.g. seeds in holes using a dibble-stick, or plant cuttings), sow, grow (plants); transplant (seedlings); invest (money). ","Category: agriculture - process, economics."
baku  ,"vt. hit, slap (not on the face), beat, bash, strike, cane; thresh (rice); bounce (a ball); convert (currency). ","Category: agriculture - process, tools - processes."
aparu  ,"vt. prune, trim. ",Category: agriculture - process.
haburas  ,"vt. make grow, make fertile, make prosper; enrich. ",Category: agriculture - process.
haliri  ,vt. winnow. ,Category: agriculture - process.
kolyeta  ,vt. harvest. ,Category: agriculture - process.
korut  ,vt. strip (e.g. leaves from twig) by running it through the hand. ,Category: agriculture - process.
lere  ,"vt. slash, clear the ground of plants by slashing them. ",Category: agriculture - process.
rai2  ,"vt. put, place; store, keep; leave (something somewhere). ",Category: agriculture - process.
sabir  ,"vt. trim, pare, cut off outer strips. ",Category: agriculture - process.
sama  ,"vt. 1 • tread on, stamp on, trample. ",Category: agriculture - process.
sohi  ,vt. harvest (corn) by breaking off the cobs. ,Category: agriculture - process.
á  ,n. the letter A. ,Category: alphabet.
agá  ,n. the letter H. ,Category: alphabet.
bé  ,n. the letter B. ,Category: alphabet.
cé  ,n. the letter C (not used in writing Tetun). ,Category: alphabet.
dé  ,n. the letter D. ,Category: alphabet.
é  ,n. the letter E. ,Category: alphabet.
efi  ,n. the letter F. ,Category: alphabet.
eli  ,n. the letter L. ,Category: alphabet.
emi  ,n. the letter M. ,Category: alphabet.
eni  ,n. the letter N. ,Category: alphabet.
eri  ,n. the letter R. ,Category: alphabet.
esi  ,n. the letter S. ,Category: alphabet.
gé  ,n. the letter G. ,Category: alphabet.
há  ,n. the letter H. ,Category: alphabet.
í  ,n. the letter I. ,Category: alphabet.
jigé  ,n. the letter G. ,Category: alphabet.
jota  ,n. the letter J. ,Category: alphabet.
ká  ,n. the letter K. ,Category: alphabet.
ké  ,n. the letter Q (not used in writing Tetun). ,Category: alphabet.
kí  ,n. the letter Q (not used in writing Tetun). ,Category: alphabet.
ó  ,n. the letter O. ,Category: alphabet.
pé  ,n. the letter P. ,Category: alphabet.
sé3  ,n. the letter C (not used in writing Tetun). ,Category: alphabet.
té  ,n. the letter T. ,Category: alphabet.
ú  ,n. the letter U. ,Category: alphabet.
vé  ,n. the letter Verb. ,Category: alphabet.
wé  ,n. the letter W. ,Category: alphabet.
yé  ,n. the letter Y (not used in writing Tetun). ,Category: alphabet.
zé  ,n. the letter Z. ,Category: alphabet.
fahi knuuk  ,n. place which pig prepares to give birth. ,Category: animals - equipment.
fahi luhan  ,"n. pigsty, pigpen. ",Category: animals - equipment.
knuuk  ,"n. 1 • nest, nesting box. ",Category: animals - equipment.
luhan  ,"n. cage, pen. ",Category: animals - equipment.
manu knuuk  ,n.  ,Category: animals - equipment.
manu luhan  ,n. bird cage. ,Category: animals - equipment.
sela1  ,1 • n. (horse) saddle. ,Category: animals - equipment.
aman2  ,adj. male (of animals). ,Category: animals - other.
ayam potong  ,n. chicken raised for its meat. ,Category: animals - other.
bibi malae nia fulun  ,n. wool. ,Category: animals - other.
fuik  ,"1 • adj. wild; uninhabited, vacant, empty of people. ",Category: animals - other.
grupu  ,"n. group (mainly of people), flock, school (of fish). ",Category: animals - other.
inan2  ,adj. female (of animal). ,Category: animals - other.
kokoreko  ,excl. cock-a-doodle-do (sound of rooster crowing). ,Category: animals - other.
rasa  ,n. race (of people); breed (of animals). ,Category: animals - other.
fulun  ,"n. body hair, fur, wool (on sheep), mane (of horse); feather; tassle on corn cob; fluff. ","Category: animals - parts, body parts."
manu kelen  ,n. drumstick (chicken thigh). ,"Category: animals - parts, food."
liras  ,"n. wing (of bird, insect, aeroplane...) ","Category: animals - parts, vehicles - parts."
delun2  ,n. spur. ,Category: animals - parts.
dikur  ,n. horn (of animal). ,Category: animals - parts.
ikun  ,n. 1 • tail. ,Category: animals - parts.
kakaluk1  ,"n. craw, crop (of bird). ",Category: animals - parts.
karau teen  ,"n. 1 • buffalo manure, dung. ",Category: animals - parts.
laho teen  ,n. mouse/rat dropping. ,Category: animals - parts.
manu delun  ,n. spur (of rooster; the backward claw to which the weapon is tied in a cockfight). ,Category: animals - parts.
manu fulun  ,n. 1 • feather. ,Category: animals - parts.
sapatu2  ,n. hoof. ,Category: animals - parts.
karau atan  ,n. buffalo herder. ,Category: animals - people.
veterináriu  ,"n. veterinary doctor, veterinarian. ",Category: animals - people.
hakiak  ,"1 • vt. raise, rear (children, animals), keep (animals), breed; adopt. ","Category: animals - processes, kinship - processes."
dorus  ,vi. miscarry (of animals). ,Category: animals - processes.
hatenu  ,vi. bark (of dog). ,Category: animals - processes.
hein  ,"vt. wait; wait for, await; guard, look after. ",Category: animals - processes.
kapa2  ,"vt. castrate, geld. ",Category: animals - processes.
kasa  ,"vt. 1 • hunt (wild animals, birds). ",Category: animals - processes.
kokoreek  ,vi. crow (of rooster). ,Category: animals - processes.
kokoteek  ,v. cluck (of hen). ,Category: animals - processes.
luut  ,v. brood (sit on eggs; some also include sitting on the chicks). ,Category: animals - processes.
sulan  ,"vt. put a stopper in; confine, enclose, put (esp. animals) into an enclosure. ",Category: animals - processes.
animál  ,n. animal. ,Category: animals.
asu  ,n. dog. ,Category: animals.
asu aman  ,n. 1 • male dog. ,Category: animals.
asu inan  ,n. 1 • bitch (female dog). ,Category: animals.
asu oan  ,"n. pup, puppy. ",Category: animals.
balada  ,n. animal. ,Category: animals.
bibi  ,"1 • n. goat, sheep. ",Category: animals.
bibi aman  ,"n. billy-goat, ram. ",Category: animals.
bibi inan  ,"n. nanny-goat, ewe. ",Category: animals.
bibi malae  ,n. sheep. ,Category: animals.
bibi oan  ,"n. kid (baby goat), lamb. ",Category: animals.
bibi rusa  ,n. deer. ,Category: animals.
bibi Timor  ,n. goat (as opposed to a sheep). ,Category: animals.
busa  ,n. cat. ,Category: animals.
busa aman  ,n. tomcat. ,Category: animals.
busa inan  ,n. she-cat. ,Category: animals.
busa oan  ,n. kitten. ,Category: animals.
elefante  ,n. elephant. ,Category: animals.
fahi  ,n. pig. ,Category: animals.
fahi aman  ,n. boar (male pig). ,Category: animals.
fahi fuik  ,"n. wild pig, boar. ",Category: animals.
fahi inan  ,n. sow (female pig). ,Category: animals.
fahi oan  ,n. piglet. ,Category: animals.
foho-rai  ,n. python. ,Category: animals.
kamelu  ,n. camel. ,Category: animals.
karau  ,"n. buffalo, water buffalo; cattle. ",Category: animals.
karau aman  ,n. bull. ,Category: animals.
karau baka  ,n. Bali cattle (red beef cattle). ,Category: animals.
karau inan  ,n. cow. ,Category: animals.
karau oan  ,n. calf. ,Category: animals.
karau susubeen  ,"n. dairy cow, dairy cattle. ",Category: animals.
karau Timor  ,"n. buffalo, water buffalo. ",Category: animals.
kobra2  ,n. cobra. ,Category: animals.
koelyu  ,"n. rabbit, hare. ",Category: animals.
kuda2  ,n. horse. ,Category: animals.
kuda aman  ,n. stallion. ,Category: animals.
kuda buru  ,"n. donkey, ass. ",Category: animals.
kuda inan  ,n. mare. ,Category: animals.
kuda kamelu  ,n. camel. ,Category: animals.
kuda oan  ,n. foal. ,Category: animals.
lafaek  ,n. crocodile. ,Category: animals.
lafaek rai maran  ,n. kind of lizard (about .5 metre long). ,Category: animals.
lafaek tasi  ,n. saltwater crocodile. ,Category: animals.
laho  ,"n. mouse, rat, rodent. ",Category: animals.
lakataru  ,n. caterpillar. ,Category: animals.
laku  ,"n. civet, civet cat. ",Category: animals.
lekirauk  ,n. monkey. ,Category: animals.
lenuk  ,"n. 1 • turtle, tortoise. ",Category: animals.
lenuk rai maran  ,n. tortoise. ,Category: animals.
lenuk tasi  ,n. (sea) turtle. ,Category: animals.
liaun  ,n. lion. ,Category: animals.
manduku  ,"n. frog, toad. ",Category: animals.
manduku Interfet  ,n. Asian black-spined toad. ,Category: animals.
meda  ,"n. cuscus, possum. ",Category: animals.
naga2  ,n. dragon. ,Category: animals.
niki  ,"n. bat, flying fox. ",Category: animals.
reptil  ,n. reptile. ,Category: animals.
rusa  ,n. deer. ,Category: animals.
samea  ,n. snake. ,Category: animals.
samea tasi  ,n. sea snake. ,Category: animals.
samodok  ,n. poisonous green snake. ,Category: animals.
teki  ,n. 1 • gecko (kind of small house lizard). ,Category: animals.
teki liras  ,n. winged lizard. ,Category: animals.
