bote,"woven basket carried on the back by a strap,often around the forehead","agriculture - equipment,household"
baliun,axe,"agriculture - equipment,tools - types,weapons"
katana,machete,"agriculture - equipment,tools - types,weapons"
maubeka,large machete,"agriculture - equipment,tools - types,weapons"
ai suak,crowbar,"agriculture - equipment,tools - types"
enxada,"hoe,mattock","agriculture - equipment,tools - types"
estaka,stake (pointed wooden post which is banged into the ground),"agriculture - equipment,tools - types"
gerobak,"wheelbarrow,pushcart","agriculture - equipment,tools - types"
karau dikur,"pick,pickaxe","agriculture - equipment,tools - types"
karosa,"wheelbarrow,pushcart","agriculture - equipment,tools - types"
tofa,"digging stick with metal at each end,one end having a spike,the other end like a small spade","agriculture - equipment,tools - types"
tratór,tractor,"agriculture - equipment,vehicles - types"
ai kait,hooked stick for pulling down fruit,agriculture - equipment
ai leba,carrying pole (stick across the shoulder by which items are carried),agriculture - equipment
freiu,bit and reins (for horse),agriculture - equipment
karoon,"sack,bag",agriculture - equipment
kuda talin,reins,agriculture - equipment
mákina dulas hare,rice mill,agriculture - equipment
regadór,sprayer; watering can,agriculture - equipment
tratór liman,hand tractor,agriculture - equipment
xarua,plough (pulled by buffalo),agriculture - equipment
lahuk,disintegrating (esp. of termite-ridden wood),"agriculture - other,building - processes,water and sanitation"
horok,items tied to a fruit tree to indicate that nobody may pick its fruit; this is associated with a curse or spell on those who do pick it,"agriculture - other,causes of illness,tradition"
mangál,"nearly ripe,half-ripe","agriculture - other,cooking - other"
rezultadu,"result; mark,grade (in exam); score; yield","agriculture - other,education - other,sport"
agrikultura,agriculture,"agriculture - other,education - subject"
agronomia,agronomy,"agriculture - other,education - subject"
foos ikis,small pieces of broken rice grains,"agriculture - other,food"
mota oan,"creek,channel","agriculture - other,nature - other"
rai halai,"landslide,erosion","agriculture - other,nature - other"
ai horis,plant (esp. trees),"agriculture - other,plants"
duut,"grass,grassy weeds,shrub","agriculture - other,plants"
tebar,heavily laden (of fruit on a tree),"agriculture - other,plants"
bee dalan,"water course,ditch,open drain,irrigation channel,canal","agriculture - other,water and sanitation"
adubu,fertiliser,agriculture - other
adubu kímika,chemical fertiliser,agriculture - other
agríkola,agricultural-,agriculture - other
agrikultura subsisténsia,subsistence agriculture,agriculture - other
agropekuária,livestock,agriculture - other
ai oan,"seedling,sapling,young plant",agriculture - other
akuakultura,aquaculture,agriculture - other
armazén,"warehouse,storeroom,store",agriculture - other
bokar,"big,thick (particularly of healthy plants,tubers and seeds)",agriculture - other
buras,"lush,thrive",agriculture - other
ektare,hectare,agriculture - other
erozaun,erosion,agriculture - other
estrumi,"compost,mulch",agriculture - other
gudang,"warehouse,storeroom,store",agriculture - other
hasil,"yield,result",agriculture - other
hektar,hectare,agriculture - other
irigasaun,irrigation,agriculture - other
kabubu,,agriculture - other
kafé laran,coffee plantation,agriculture - other
kantadeiru,(raised) garden bed,agriculture - other
koperativa,"(commercial) co-operative,co-op",agriculture - other
matadouru,"abattoir,slaughterhouse",agriculture - other
natar,"rice paddy,paddy field",agriculture - other
okir,"unripe,very immature fruit",agriculture - other
peskas,fisheries,agriculture - other
pestisida,pesticide,agriculture - other
plantasaun,"plantation,orchard,vineyard",agriculture - other
produsaun,production; yield,agriculture - other
pupuk,fertiliser,agriculture - other
rai bokur,fertile soil,agriculture - other
rai hamlaha,body. there is a famine,agriculture - other
rai metan,black soil,agriculture - other
ramu,"bunch (of bananas,coconuts)",agriculture - other
sasuit1,hand (of bananas),agriculture - other
toos2,"cultivated field,(agricultural) garden,farm",agriculture - other
viveiru,nursery for plant seedlings,agriculture - other
agrikultór,farmer,"agriculture - people,profession"
natar nain,rice farmer,"agriculture - people,profession"
estensionista,(agricultural) extension officer,agriculture - people
PPL,extension officer,agriculture - people
kuda1,"plant (e.g. seeds in holes using a dibble-stick,or plant cuttings),sow,grow (plants); transplant (seedlings); invest (money)","agriculture - process,economics"
baku,"hit,slap (not on the face),beat,bash,strike,cane; thresh (rice); bounce (a ball); convert (currency)","agriculture - process,tools - processes"
aparu,"prune,trim",agriculture - process
haburas,"make grow,make fertile,make prosper; enrich",agriculture - process
haliri,winnow,agriculture - process
kolyeta,harvest,agriculture - process
korut,strip (e.g. leaves from twig) by running it through the hand,agriculture - process
lere,"slash,clear the ground of plants by slashing them",agriculture - process
rai2,"put,place; store,keep; leave (something somewhere)",agriculture - process
sabir,"trim,pare,cut off outer strips",agriculture - process
sama,"tread on,stamp on,trample",agriculture - process
sohi,harvest (corn) by breaking off the cobs,agriculture - process
á,the letter A,alphabet
agá,the letter H,alphabet
bé,the letter B,alphabet
cé,the letter C (not used in writing Tetun),alphabet
dé,the letter D,alphabet
é,the letter E,alphabet
efi,the letter F,alphabet
eli,the letter L,alphabet
emi,the letter M,alphabet
eni,the letter N,alphabet
eri,the letter R,alphabet
esi,the letter S,alphabet
gé,the letter G,alphabet
há,the letter H,alphabet
í,the letter I,alphabet
jigé,the letter G,alphabet
jota,the letter J,alphabet
ká,the letter K,alphabet
